FlightNum,CarrierCode,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,Distance
9057,DL,BOS,SEA,2023-03-28 17:00:00,2023-03-28 17:55:00,2023-03-29 01:00:00,2023-03-29 00:50:00,4902
2605,EK,JFK,BOS,2023-09-08 03:00:00,2023-09-08 04:05:00,2023-09-08 09:00:00,2023-09-08 10:08:00,1494
3843,EK,ATL,ORD,2023-06-07 07:00:00,2023-06-07 07:17:00,2023-06-07 17:00:00,2023-06-07 17:59:00,4914
5614,LH,ATL,ORD,2023-12-29 23:00:00,2023-12-30 00:31:00,2023-12-30 04:00:00,2023-12-30 04:37:00,2657
8869,QF,MIA,BOS,2023-09-04 15:00:00,2023-09-04 14:37:00,2023-09-05 06:00:00,2023-09-05 05:41:00,4956
8264,SW,DFW,BOS,2023-08-22 18:00:00,2023-08-22 18:54:00,2023-08-23 07:00:00,2023-08-23 08:39:00,2897
5457,EK,MIA,SFO,2023-07-09 11:00:00,2023-07-09 11:37:00,2023-07-10 00:00:00,2023-07-10 01:27:00,1115
6414,AF,BOS,ORD,2023-09-23 23:00:00,2023-09-23 23:16:00,2023-09-24 13:00:00,2023-09-24 14:11:00,1257
7679,LH,SFO,ORD,2023-07-26 06:00:00,2023-07-26 07:11:00,2023-07-26 18:00:00,2023-07-26 18:03:00,3709
7120,QF,MIA,DEN,2023-02-13 07:00:00,2023-02-13 08:21:00,2023-02-13 15:00:00,2023-02-13 16:06:00,1590
6638,QF,BOS,JFK,2023-06-21 22:00:00,2023-06-21 22:21:00,2023-06-22 05:00:00,2023-06-22 06:45:00,4189
4988,SQ,DFW,ATL,2023-04-25 19:00:00,2023-04-25 19:03:00,2023-04-26 07:00:00,2023-04-26 06:46:00,1280
2932,UA,ATL,DFW,2023-05-26 23:00:00,2023-05-26 23:29:00,2023-05-27 07:00:00,2023-05-27 07:22:00,2359
5808,UA,DFW,DEN,2023-02-27 13:00:00,2023-02-27 14:25:00,2023-02-27 17:00:00,2023-02-27 18:32:00,1026
9989,QF,SEA,BOS,2023-06-13 23:00:00,2023-06-13 22:32:00,2023-06-14 14:00:00,2023-06-14 15:15:00,906
7451,SW,SFO,MIA,2023-07-19 13:00:00,2023-07-19 13:19:00,2023-07-19 22:00:00,2023-07-19 22:48:00,2580
4327,EK,ATL,BOS,2023-11-04 18:00:00,2023-11-04 19:18:00,2023-11-05 01:00:00,2023-11-05 01:08:00,1034
7115,BA,ORD,SEA,2023-09-10 15:00:00,2023-09-10 16:02:00,2023-09-10 23:00:00,2023-09-10 22:43:00,2769
7665,DL,JFK,SFO,2023-03-04 17:00:00,2023-03-04 18:01:00,2023-03-05 08:00:00,2023-03-05 09:23:00,4557
1604,SQ,MIA,JFK,2023-02-15 05:00:00,2023-02-15 06:12:00,2023-02-15 17:00:00,2023-02-15 17:53:00,2746
7289,SQ,BOS,ORD,2023-12-03 01:00:00,2023-12-03 02:52:00,2023-12-03 15:00:00,2023-12-03 16:37:00,4164
1631,DL,LAX,DFW,2023-06-30 21:00:00,2023-06-30 22:18:00,2023-07-01 06:00:00,2023-07-01 05:58:00,4966
8591,AA,SEA,JFK,2023-05-22 01:00:00,2023-05-22 00:40:00,2023-05-22 14:00:00,2023-05-22 15:09:00,3628
9156,QF,ORD,DFW,2023-08-16 00:00:00,2023-08-16 01:38:00,2023-08-16 08:00:00,2023-08-16 10:00:00,3311
8938,SQ,DEN,JFK,2023-07-25 05:00:00,2023-07-25 06:18:00,2023-07-25 19:00:00,2023-07-25 20:01:00,2146
1150,UA,BOS,ATL,2023-02-13 04:00:00,2023-02-13 05:54:00,2023-02-13 10:00:00,2023-02-13 11:23:00,3143
4087,AA,DFW,SEA,2023-08-18 14:00:00,2023-08-18 13:48:00,2023-08-19 03:00:00,2023-08-19 02:56:00,2320
1425,QF,DFW,ATL,2023-12-15 17:00:00,2023-12-15 17:12:00,2023-12-15 22:00:00,2023-12-15 23:57:00,1115
6896,BA,JFK,ORD,2023-06-26 11:00:00,2023-06-26 12:49:00,2023-06-27 01:00:00,2023-06-27 02:16:00,4375
1439,AF,DFW,MIA,2023-07-02 18:00:00,2023-07-02 20:00:00,2023-07-03 09:00:00,2023-07-03 09:09:00,1528
2915,QF,BOS,DFW,2023-04-20 19:00:00,2023-04-20 18:31:00,2023-04-21 07:00:00,2023-04-21 07:21:00,2932
7817,QF,JFK,DEN,2023-12-27 11:00:00,2023-12-27 12:44:00,2023-12-27 21:00:00,2023-12-27 21:30:00,2414
9777,BA,DEN,MIA,2023-01-11 12:00:00,2023-01-11 12:39:00,2023-01-11 17:00:00,2023-01-11 17:06:00,2661
4284,AA,BOS,JFK,2023-09-12 16:00:00,2023-09-12 16:09:00,2023-09-12 20:00:00,2023-09-12 21:57:00,1345
2126,EK,LAX,SFO,2023-12-05 13:00:00,2023-12-05 13:06:00,2023-12-06 01:00:00,2023-12-06 00:58:00,4348
5854,AA,SEA,MIA,2023-07-16 13:00:00,2023-07-16 13:44:00,2023-07-17 02:00:00,2023-07-17 02:52:00,705
6331,AA,DFW,SFO,2023-02-02 04:00:00,2023-02-02 04:45:00,2023-02-02 19:00:00,2023-02-02 19:30:00,4435
8437,AA,SFO,BOS,2023-03-12 10:00:00,2023-03-12 11:53:00,2023-03-12 18:00:00,2023-03-12 18:56:00,1712
4280,BA,ORD,ATL,2023-10-15 19:00:00,2023-10-15 19:39:00,2023-10-16 02:00:00,2023-10-16 02:35:00,1310
3588,BA,ORD,JFK,2023-10-19 20:00:00,2023-10-19 20:01:00,2023-10-20 11:00:00,2023-10-20 12:35:00,1560
8812,BA,MIA,DFW,2023-07-03 22:00:00,2023-07-03 23:58:00,2023-07-04 01:00:00,2023-07-04 01:42:00,3701
8666,DL,JFK,MIA,2023-06-05 06:00:00,2023-06-05 07:32:00,2023-06-05 12:00:00,2023-06-05 13:54:00,2163
8185,AA,DFW,MIA,2023-03-27 20:00:00,2023-03-27 21:08:00,2023-03-28 04:00:00,2023-03-28 04:26:00,3578
4484,DL,LAX,SEA,2023-03-01 15:00:00,2023-03-01 15:06:00,2023-03-01 18:00:00,2023-03-01 17:49:00,1169
3022,AF,DFW,SFO,2023-04-23 09:00:00,2023-04-23 10:55:00,2023-04-23 22:00:00,2023-04-23 23:25:00,678
4146,AA,SFO,JFK,2023-05-27 03:00:00,2023-05-27 02:42:00,2023-05-27 11:00:00,2023-05-27 11:33:00,4001
2250,QF,SEA,MIA,2023-04-12 09:00:00,2023-04-12 09:59:00,2023-04-12 15:00:00,2023-04-12 16:00:00,2664
5074,SQ,JFK,SFO,2023-04-02 21:00:00,2023-04-02 21:14:00,2023-04-03 08:00:00,2023-04-03 08:06:00,4085
8200,UA,SEA,DFW,2023-03-04 22:00:00,2023-03-04 22:47:00,2023-03-05 13:00:00,2023-03-05 13:35:00,4292
3774,QF,DEN,SFO,2023-10-12 00:00:00,2023-10-11 23:37:00,2023-10-12 09:00:00,2023-10-12 08:57:00,1431
4645,AA,LAX,MIA,2023-12-12 18:00:00,2023-12-12 19:45:00,2023-12-13 00:00:00,2023-12-12 23:36:00,3229
7833,AF,DFW,MIA,2023-09-03 02:00:00,2023-09-03 03:56:00,2023-09-03 12:00:00,2023-09-03 13:16:00,1594
8638,QF,DEN,SFO,2023-12-18 04:00:00,2023-12-18 04:58:00,2023-12-18 06:00:00,2023-12-18 06:53:00,4219
4187,QF,SEA,JFK,2023-11-23 03:00:00,2023-11-23 03:44:00,2023-11-23 06:00:00,2023-11-23 06:26:00,2791
6520,SQ,BOS,SEA,2023-12-08 20:00:00,2023-12-08 21:17:00,2023-12-09 04:00:00,2023-12-09 04:25:00,662
5759,AF,SEA,BOS,2023-05-01 10:00:00,2023-05-01 09:44:00,2023-05-01 17:00:00,2023-05-01 16:58:00,2132
1183,BA,ORD,DEN,2023-04-18 01:00:00,2023-04-18 02:01:00,2023-04-18 05:00:00,2023-04-18 05:05:00,3461
2696,QF,JFK,SFO,2023-06-30 18:00:00,2023-06-30 19:06:00,2023-06-30 21:00:00,2023-06-30 21:26:00,4372
3804,SQ,JFK,SEA,2023-09-22 18:00:00,2023-09-22 18:50:00,2023-09-23 04:00:00,2023-09-23 05:33:00,2672
8663,BA,DFW,SFO,2023-11-29 09:00:00,2023-11-29 10:27:00,2023-11-29 17:00:00,2023-11-29 16:30:00,1626
9885,SW,SEA,JFK,2023-05-15 17:00:00,2023-05-15 18:13:00,2023-05-16 05:00:00,2023-05-16 04:44:00,4539
4464,SW,MIA,JFK,2023-01-08 15:00:00,2023-01-08 16:01:00,2023-01-09 04:00:00,2023-01-09 05:43:00,1374
8417,SQ,ATL,MIA,2023-10-12 04:00:00,2023-10-12 05:23:00,2023-10-12 15:00:00,2023-10-12 14:46:00,3775
1332,DL,MIA,BOS,2023-11-29 15:00:00,2023-11-29 16:42:00,2023-11-30 04:00:00,2023-11-30 04:56:00,4621
6585,BA,BOS,DFW,2023-02-14 14:00:00,2023-02-14 14:56:00,2023-02-15 00:00:00,2023-02-14 23:31:00,872
4386,SQ,LAX,DEN,2023-05-25 07:00:00,2023-05-25 08:26:00,2023-05-25 14:00:00,2023-05-25 15:36:00,4785
9709,BA,DEN,MIA,2023-04-27 03:00:00,2023-04-27 04:10:00,2023-04-27 08:00:00,2023-04-27 07:34:00,3824
8537,EK,SEA,DEN,2023-11-28 03:00:00,2023-11-28 05:00:00,2023-11-28 06:00:00,2023-11-28 05:34:00,4117
2666,QF,DFW,MIA,2023-09-11 15:00:00,2023-09-11 16:11:00,2023-09-12 00:00:00,2023-09-11 23:44:00,654
4071,EK,MIA,ORD,2023-12-16 04:00:00,2023-12-16 05:17:00,2023-12-16 12:00:00,2023-12-16 13:55:00,1922
3275,EK,DEN,JFK,2023-10-30 06:00:00,2023-10-30 06:58:00,2023-10-30 09:00:00,2023-10-30 09:07:00,1229
3697,LH,BOS,JFK,2023-04-10 13:00:00,2023-04-10 14:34:00,2023-04-10 21:00:00,2023-04-10 22:13:00,3373
4656,UA,ORD,MIA,2023-02-19 03:00:00,2023-02-19 03:42:00,2023-02-19 16:00:00,2023-02-19 17:27:00,4963
1257,BA,MIA,BOS,2023-04-14 13:00:00,2023-04-14 13:48:00,2023-04-14 18:00:00,2023-04-14 19:25:00,3214
9086,BA,BOS,SEA,2023-11-10 09:00:00,2023-11-10 10:56:00,2023-11-10 21:00:00,2023-11-10 21:10:00,3287
3477,SW,ATL,DEN,2023-07-17 20:00:00,2023-07-17 21:36:00,2023-07-18 01:00:00,2023-07-18 02:42:00,1878
2886,AA,BOS,DEN,2023-04-14 16:00:00,2023-04-14 16:27:00,2023-04-15 00:00:00,2023-04-15 00:16:00,3880
6915,SW,SFO,BOS,2023-12-22 09:00:00,2023-12-22 10:19:00,2023-12-22 21:00:00,2023-12-22 21:38:00,3683
6879,EK,ORD,DEN,2023-03-26 04:00:00,2023-03-26 05:53:00,2023-03-26 19:00:00,2023-03-26 19:53:00,2834
1381,AF,LAX,DFW,2023-04-15 23:00:00,2023-04-16 00:13:00,2023-04-16 03:00:00,2023-04-16 04:15:00,1285
9424,SW,ATL,ORD,2023-09-12 16:00:00,2023-09-12 17:34:00,2023-09-13 05:00:00,2023-09-13 05:37:00,3329
9309,LH,SEA,LAX,2023-07-15 09:00:00,2023-07-15 09:27:00,2023-07-15 21:00:00,2023-07-15 22:17:00,2829
2691,SW,SEA,ORD,2023-05-14 21:00:00,2023-05-14 21:14:00,2023-05-15 03:00:00,2023-05-15 03:08:00,4508
6100,BA,SEA,ORD,2023-03-30 00:00:00,2023-03-30 00:53:00,2023-03-30 07:00:00,2023-03-30 07:38:00,3649
9870,UA,DEN,JFK,2023-08-17 11:00:00,2023-08-17 12:17:00,2023-08-17 19:00:00,2023-08-17 19:16:00,3021
1024,DL,MIA,SFO,2023-06-16 00:00:00,2023-06-16 01:26:00,2023-06-16 15:00:00,2023-06-16 14:44:00,3843
1290,QF,LAX,SFO,2023-03-20 07:00:00,2023-03-20 06:38:00,2023-03-20 16:00:00,2023-03-20 15:30:00,830
9639,AA,BOS,JFK,2023-12-31 12:00:00,2023-12-31 13:22:00,2023-12-31 14:00:00,2023-12-31 15:49:00,4070
8819,AF,JFK,DFW,2023-11-05 15:00:00,2023-11-05 16:50:00,2023-11-05 23:00:00,2023-11-06 00:57:00,1237
8130,SW,JFK,LAX,2023-11-07 08:00:00,2023-11-07 08:48:00,2023-11-07 22:00:00,2023-11-07 23:29:00,1494
9443,SQ,DEN,BOS,2023-06-14 17:00:00,2023-06-14 17:04:00,2023-06-15 01:00:00,2023-06-15 01:46:00,2295
5710,BA,SFO,SEA,2023-01-01 04:00:00,2023-01-01 05:07:00,2023-01-01 07:00:00,2023-01-01 08:22:00,590
6684,AA,SFO,SEA,2023-10-10 09:00:00,2023-10-10 10:29:00,2023-10-10 19:00:00,2023-10-10 19:26:00,4953
3064,DL,DFW,BOS,2023-08-24 05:00:00,2023-08-24 06:08:00,2023-08-24 16:00:00,2023-08-24 17:29:00,2220
9272,UA,ATL,SEA,2023-07-11 00:00:00,2023-07-11 00:11:00,2023-07-11 06:00:00,2023-07-11 07:24:00,1417
1106,SQ,DEN,BOS,2023-05-29 13:00:00,2023-05-29 12:33:00,2023-05-30 01:00:00,2023-05-30 00:39:00,4746
7486,SW,JFK,SFO,2023-03-20 19:00:00,2023-03-20 20:19:00,2023-03-21 03:00:00,2023-03-21 04:41:00,1605
7516,QF,DEN,SEA,2023-07-08 10:00:00,2023-07-08 09:45:00,2023-07-08 21:00:00,2023-07-08 21:57:00,1091
6342,DL,ATL,JFK,2023-07-24 00:00:00,2023-07-23 23:36:00,2023-07-24 15:00:00,2023-07-24 14:38:00,3124
1028,UA,BOS,DEN,2023-02-22 22:00:00,2023-02-22 23:42:00,2023-02-23 04:00:00,2023-02-23 04:03:00,3237
7189,UA,DFW,BOS,2023-05-30 07:00:00,2023-05-30 08:34:00,2023-05-30 18:00:00,2023-05-30 19:27:00,815
8790,QF,BOS,MIA,2023-05-11 22:00:00,2023-05-11 21:43:00,2023-05-12 06:00:00,2023-05-12 06:31:00,4885
8589,UA,ORD,BOS,2023-06-05 03:00:00,2023-06-05 03:19:00,2023-06-05 11:00:00,2023-06-05 10:57:00,4216
7131,DL,ATL,JFK,2023-01-30 18:00:00,2023-01-30 19:48:00,2023-01-31 02:00:00,2023-01-31 02:02:00,612
1277,DL,SEA,BOS,2023-05-19 00:00:00,2023-05-19 01:29:00,2023-05-19 14:00:00,2023-05-19 14:17:00,2268
1193,UA,ORD,ATL,2023-03-11 09:00:00,2023-03-11 09:52:00,2023-03-11 17:00:00,2023-03-11 17:55:00,748
3421,AF,SFO,MIA,2023-06-16 03:00:00,2023-06-16 02:57:00,2023-06-16 17:00:00,2023-06-16 17:14:00,1457
7085,EK,ATL,BOS,2023-07-08 18:00:00,2023-07-08 17:37:00,2023-07-09 00:00:00,2023-07-09 01:01:00,1928
4258,BA,SFO,LAX,2023-12-18 06:00:00,2023-12-18 06:56:00,2023-12-18 10:00:00,2023-12-18 11:38:00,1225
9510,QF,JFK,SEA,2023-03-01 23:00:00,2023-03-01 23:20:00,2023-03-02 13:00:00,2023-03-02 14:41:00,2925
7623,SQ,SEA,ORD,2023-10-11 17:00:00,2023-10-11 17:36:00,2023-10-11 19:00:00,2023-10-11 20:58:00,2069
7156,BA,LAX,SFO,2023-12-07 04:00:00,2023-12-07 05:35:00,2023-12-07 09:00:00,2023-12-07 10:32:00,1122
9031,AA,SEA,ORD,2023-10-02 21:00:00,2023-10-02 22:23:00,2023-10-03 03:00:00,2023-10-03 03:10:00,2730
3331,AA,BOS,ORD,2023-08-13 06:00:00,2023-08-13 07:02:00,2023-08-13 14:00:00,2023-08-13 15:50:00,3334
8793,AF,JFK,BOS,2023-10-10 07:00:00,2023-10-10 07:20:00,2023-10-10 20:00:00,2023-10-10 20:17:00,1925
3217,AA,ATL,DEN,2023-03-19 18:00:00,2023-03-19 17:41:00,2023-03-20 07:00:00,2023-03-20 08:24:00,4027
8383,UA,SEA,LAX,2023-06-29 02:00:00,2023-06-29 02:34:00,2023-06-29 16:00:00,2023-06-29 17:31:00,846
8889,AA,SFO,ATL,2023-01-18 16:00:00,2023-01-18 15:46:00,2023-01-18 21:00:00,2023-01-18 20:34:00,947
5593,AF,DEN,JFK,2023-08-09 05:00:00,2023-08-09 05:17:00,2023-08-09 16:00:00,2023-08-09 17:59:00,2130
9223,QF,LAX,MIA,2023-04-06 08:00:00,2023-04-06 08:29:00,2023-04-06 17:00:00,2023-04-06 17:56:00,3707
7815,AF,JFK,DFW,2023-06-23 13:00:00,2023-06-23 13:02:00,2023-06-24 02:00:00,2023-06-24 01:31:00,4509
2269,QF,BOS,DEN,2023-03-19 21:00:00,2023-03-19 21:20:00,2023-03-20 01:00:00,2023-03-20 01:38:00,2280
4563,BA,BOS,ORD,2023-03-10 11:00:00,2023-03-10 10:37:00,2023-03-10 13:00:00,2023-03-10 14:39:00,531
5971,SQ,ORD,JFK,2023-02-25 09:00:00,2023-02-25 10:31:00,2023-02-25 18:00:00,2023-02-25 18:15:00,1519
4197,EK,SFO,LAX,2023-05-17 21:00:00,2023-05-17 22:22:00,2023-05-18 04:00:00,2023-05-18 04:43:00,4540
7292,UA,LAX,DEN,2023-08-25 07:00:00,2023-08-25 08:57:00,2023-08-25 12:00:00,2023-08-25 13:15:00,2558
9910,LH,MIA,DEN,2023-04-02 14:00:00,2023-04-02 15:09:00,2023-04-02 23:00:00,2023-04-03 00:26:00,1176
2406,QF,SEA,ORD,2023-09-25 05:00:00,2023-09-25 06:33:00,2023-09-25 12:00:00,2023-09-25 13:26:00,1386
5688,SQ,MIA,BOS,2023-03-22 07:00:00,2023-03-22 08:47:00,2023-03-22 14:00:00,2023-03-22 14:34:00,4299
1315,AF,ATL,LAX,2023-04-22 10:00:00,2023-04-22 10:56:00,2023-04-22 21:00:00,2023-04-22 21:47:00,3371
2901,SW,LAX,DEN,2023-04-05 04:00:00,2023-04-05 03:43:00,2023-04-05 17:00:00,2023-04-05 18:49:00,1326
3382,AF,BOS,LAX,2023-05-04 00:00:00,2023-05-03 23:32:00,2023-05-04 09:00:00,2023-05-04 09:17:00,807
5763,UA,DEN,MIA,2023-09-11 12:00:00,2023-09-11 12:38:00,2023-09-11 17:00:00,2023-09-11 18:10:00,3877
7224,LH,LAX,DFW,2023-07-08 02:00:00,2023-07-08 02:35:00,2023-07-08 10:00:00,2023-07-08 11:34:00,3432
1317,QF,BOS,SEA,2023-02-06 07:00:00,2023-02-06 06:44:00,2023-02-06 17:00:00,2023-02-06 18:29:00,3913
3575,AF,BOS,JFK,2023-09-11 12:00:00,2023-09-11 13:44:00,2023-09-11 14:00:00,2023-09-11 15:26:00,2193
6246,SQ,LAX,SEA,2023-11-23 15:00:00,2023-11-23 14:42:00,2023-11-23 20:00:00,2023-11-23 21:33:00,658
9711,AA,ATL,ORD,2023-11-09 20:00:00,2023-11-09 21:00:00,2023-11-09 22:00:00,2023-11-09 21:54:00,3290
4054,LH,MIA,LAX,2023-05-21 07:00:00,2023-05-21 07:28:00,2023-05-21 17:00:00,2023-05-21 18:19:00,2592
6624,LH,SFO,BOS,2023-01-03 06:00:00,2023-01-03 06:47:00,2023-01-03 14:00:00,2023-01-03 14:33:00,3079
5143,AA,JFK,MIA,2023-11-21 23:00:00,2023-11-21 23:35:00,2023-11-22 01:00:00,2023-11-22 02:31:00,4422
3413,BA,ATL,SFO,2023-05-25 10:00:00,2023-05-25 10:25:00,2023-05-25 20:00:00,2023-05-25 20:52:00,4510
3799,UA,DFW,SEA,2023-07-17 10:00:00,2023-07-17 11:11:00,2023-07-17 14:00:00,2023-07-17 15:56:00,1512
2844,AA,ATL,DFW,2023-03-01 16:00:00,2023-03-01 17:11:00,2023-03-02 02:00:00,2023-03-02 03:31:00,1384
7336,UA,JFK,LAX,2023-04-27 09:00:00,2023-04-27 10:08:00,2023-04-27 22:00:00,2023-04-27 22:30:00,981
2884,UA,LAX,SEA,2023-03-09 09:00:00,2023-03-09 10:34:00,2023-03-09 12:00:00,2023-03-09 12:54:00,4634
8941,AF,LAX,ORD,2023-08-11 16:00:00,2023-08-11 16:55:00,2023-08-12 03:00:00,2023-08-12 02:51:00,3882
6422,SW,SEA,DFW,2023-12-28 05:00:00,2023-12-28 04:32:00,2023-12-28 14:00:00,2023-12-28 14:07:00,3107
6658,LH,JFK,DEN,2023-03-03 08:00:00,2023-03-03 09:11:00,2023-03-03 18:00:00,2023-03-03 19:29:00,3120
5749,AA,ORD,DFW,2023-10-13 17:00:00,2023-10-13 17:31:00,2023-10-13 23:00:00,2023-10-13 22:52:00,3379
1911,LH,ATL,MIA,2023-12-09 13:00:00,2023-12-09 13:50:00,2023-12-09 20:00:00,2023-12-09 20:20:00,2791
4703,SW,BOS,ORD,2023-05-24 12:00:00,2023-05-24 11:45:00,2023-05-24 21:00:00,2023-05-24 21:36:00,3495
3276,SW,SEA,MIA,2023-12-06 01:00:00,2023-12-06 02:27:00,2023-12-06 05:00:00,2023-12-06 06:41:00,4528
4115,SW,ORD,DEN,2023-07-10 02:00:00,2023-07-10 03:44:00,2023-07-10 10:00:00,2023-07-10 11:40:00,2942
8089,BA,BOS,JFK,2023-04-15 19:00:00,2023-04-15 20:38:00,2023-04-15 23:00:00,2023-04-15 22:55:00,3088
8826,LH,SFO,ORD,2023-02-18 10:00:00,2023-02-18 10:12:00,2023-02-18 22:00:00,2023-02-18 23:18:00,2449
2635,AA,DEN,SFO,2023-11-14 23:00:00,2023-11-15 00:25:00,2023-11-15 01:00:00,2023-11-15 01:51:00,3960
1902,BA,ORD,DFW,2023-04-23 03:00:00,2023-04-23 04:07:00,2023-04-23 17:00:00,2023-04-23 17:29:00,1582
4200,AF,SFO,JFK,2023-01-20 03:00:00,2023-01-20 04:20:00,2023-01-20 17:00:00,2023-01-20 16:46:00,1435
9543,AA,ATL,JFK,2023-10-09 04:00:00,2023-10-09 04:57:00,2023-10-09 19:00:00,2023-10-09 18:35:00,1415
5570,LH,MIA,ATL,2023-04-02 00:00:00,2023-04-02 00:54:00,2023-04-02 15:00:00,2023-04-02 16:37:00,4131
7373,AF,ORD,ATL,2023-05-02 08:00:00,2023-05-02 08:51:00,2023-05-02 11:00:00,2023-05-02 11:26:00,1441
4805,DL,DEN,MIA,2023-01-07 16:00:00,2023-01-07 15:45:00,2023-01-08 00:00:00,2023-01-08 01:49:00,3610
4969,QF,ORD,DEN,2023-11-03 04:00:00,2023-11-03 04:13:00,2023-11-03 18:00:00,2023-11-03 18:57:00,2195
7827,SW,SFO,MIA,2023-08-24 04:00:00,2023-08-24 04:07:00,2023-08-24 11:00:00,2023-08-24 11:46:00,576
